Titanium (feat. Sia),David Guetta,2012,80,Titanium.wav
Locked Out of Heaven,Bruno Mars,2012,79,LockedOutOfHeaven.wav
Paradise,Coldplay,2012,79,Paradise.wav
Payphone,Maroon 5,2012,79,Payphone.wav
What Makes You Beautiful,One Direction,2012,78,WhatMakesYouBeautiful.wav
I Knew You Were Trouble.,Taylor Swift,2012,77,IKnewYouWereTrouble.wav
Call Me Maybe,Carly Rae Jepsen,2012,76,CallMeMaybe.wav
Love You Like A Love Song,Selena Gomez & The Scene,2012,76,LoveYouLikeALoveSong.wav
Set Fire to the Rain,Adele,2012,76,SetFireToTheRain.wav
Stronger (What Doesn't Kill You),Kelly Clarkson,2012,74,Stronger.wav
